Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (AT),Day Ahead Auction (BE),Day Ahead Auction (BG),Day Ahead Auction (CH),Day Ahead Auction (CZ),Day Ahead Auction (DE-LU),Day Ahead Auction (DK1),Day Ahead Auction (DK2),Day Ahead Auction (EE),Day Ahead Auction (ES),Day Ahead Auction (FI),Day Ahead Auction (FR),Day Ahead Auction (GR),Day Ahead Auction (HR),Day Ahead Auction (HU),Day Ahead Auction (IE(SEM)),Day Ahead Auction (IT-Calabria),Day Ahead Auction (IT-Centre-North),Day Ahead Auction (IT-Centre-South),Day Ahead Auction (IT-North),Day Ahead Auction (IT-SACOAC),Day Ahead Auction (IT-SACODC),Day Ahead Auction (IT-Sardinia),Day Ahead Auction (IT-Sicily),Day Ahead Auction (IT-South),Day Ahead Auction (LT),Day Ahead Auction (LV),Day Ahead Auction (NL),Day Ahead Auction (NO1),Day Ahead Auction (NO2),Day Ahead Auction (NO2NSL),Day Ahead Auction (NO3),Day Ahead Auction (NO4),Day Ahead Auction (NO5),Day Ahead Auction (PL),Day Ahead Auction (PT),Day Ahead Auction (RO),Day Ahead Auction (RS),Day Ahead Auction (SE1),Day Ahead Auction (SE2),Day Ahead Auction (SE3),Day Ahead Auction (SE4),Day Ahead Auction (SI),Day Ahead Auction (SK)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)"
2021-12-31T23:00+00:00,91026.53,72730.48,136142.07,61.84,82.02,61.93,119.97,50.05,50.05,50.05,46.6,50.05,145.86,46.6,89.06,170.28,61.84,61.84,0.27,170.28,170.28,170.28,170.28,250,170.28,170.28,170.28,170.28,50.05,50.05,124.7,132.89,132.89,139.83,46.6,46.6,132.89,59.03,145.86,61.84,120.03,46.6,46.6,46.6,46.6,61.84,50.05
2022-01-01T00:00+00:00,90058.79,71254.12,132774.21,51.44,67.07,41.39,101.54,41.33,41.33,41.33,41.33,41.33,114.9,41.33,78.48,155.72,51.44,41.33,-0.01,155.72,155.72,155.72,155.72,250,155.72,155.72,155.72,155.72,41.33,41.33,124.7,129.3,129.3,133.36,41.33,41.33,129.3,49.37,114.9,41.33,98.61,41.33,41.33,41.33,41.33,51.44,41.33
2022-01-01T01:00+00:00,89329.47,69973,128498.55,55.91,75.11,43.15,52.13,43.22,43.22,43.22,42.18,42.18,113.87,42.18,85.16,147.09,55.91,43.22,0.27,147.09,147.09,147.09,147.09,250,147.09,147.09,147.09,147.09,42.18,42.18,134,132.08,132.08,112.71,42.18,42.18,132.08,43.22,113.87,43.09,78.01,42.18,42.18,42.18,42.18,55.91,43.22
2022-01-01T02:00+00:00,88195.84,68830.41,123667.13,46.94,50.91,45.53,20.78,45.46,45.46,45.46,44.37,44.37,97.8,44.37,50,91,46.94,45.46,-0.01,91,91,91,91,250,91,91,91,91,44.37,44.37,58.8,111.44,111.44,101.41,44.37,44.37,111.44,45.46,97.8,45.46,60.05,44.37,44.37,44.37,44.37,46.94,45.46
2022-01-01T03:00+00:00,87689.61,67732.89,120964.53,37.67,37.67,37.73,15.66,37.67,37.67,37.67,37.67,37.67,97.8,37.67,37.67,104,37.67,37.67,-0.01,104,104,104,104,250,104,104,104,104,37.67,37.67,37.67,112.35,112.35,102.17,37.67,37.67,112.35,37.67,97.8,37.67,66.42,37.67,37.67,37.67,37.67,37.67,37.67
2022-01-01T04:00+00:00,88103.34,67716.5,119713.75,39.7,39.7,39.76,21.47,39.7,39.7,39.7,39.7,39.7,95.74,39.7,39.7,140.6,39.7,39.7,-5.27,140.6,140.6,140.6,140.6,250,140.6,140.6,140.6,140.6,39.7,39.7,39.7,113.9,113.9,101.36,39.7,39.7,113.9,39.7,95.74,39.7,75.66,39.7,39.7,39.7,39.7,39.7,39.7
2022-01-01T05:00+00:00,88602.04,68047.11,118836.69,40.59,40.59,40.65,29.89,40.59,40.59,40.59,40.59,40.59,97.8,40.59,40.59,147.09,40.59,40.59,-14.4,147.09,147.09,147.09,147.09,250,147.09,147.09,147.09,147.09,40.59,40.59,40.59,122.25,122.25,105.11,40.59,40.59,122.25,40.59,97.8,40.59,52.96,40.59,40.59,40.59,40.59,40.59,40.59
2022-01-01T06:00+00:00,88744.04,69155.4,120331.64,43.26,43.26,43.13,95.33,43.26,43.26,43.26,43.26,43.26,97.8,43.26,43.26,99.99,43.26,43.26,-23.72,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,43.26,43.26,43.26,118.58,118.58,105.07,43.26,43.26,118.58,43.26,97.8,43.06,57.16,43.26,43.26,43.26,43.26,43.26,43.26
2022-01-01T07:00+00:00,90480.64,68565.74,123553.52,49.66,49.66,40.68,95.36,49.66,49.66,49.66,49.66,49.66,97.8,49.66,49.66,40.62,49.66,49.66,-16.5,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,67.99,49.66,49.66,49.66,118.47,118.47,104.37,49.44,49.44,118.47,49.66,97.8,40.62,65.07,49.44,49.44,49.66,49.66,49.66,49.66
2022-01-01T08:00+00:00,90864.5,69388.22,131794.06,70.05,70.05,43.58,95.43,70.05,70.05,70.05,70.05,70.05,70.05,65.48,70.05,43.51,70.05,70.05,0,95,95,95,95,95,95,95,95,95,70.05,70.05,70.05,117.86,117.86,109.67,49.46,49.46,117.86,70.05,70.05,43.51,77.07,49.46,49.46,70.05,70.05,70.05,70.05
2022-01-01T09:00+00:00,91294.24,69561.31,141687.06,76.79,76.79,46.03,68.42,76.79,76.79,76.79,76.79,76.79,76.79,76.53,76.79,135.8,76.79,76.79,0.01,135.8,135.8,135.8,135.8,135.8,135.8,135.8,135.8,135.8,76.79,76.79,76.79,120.03,120.03,108.45,49.27,49.27,120.03,76.79,76.79,45.96,75.6,49.27,49.27,76.79,76.79,76.79,76.79
2022-01-01T10:00+00:00,91895.2,72154.33,146847.81,84.1,84.1,62.54,60.88,84.1,84.1,84.1,84.1,84.1,84.1,83.63,84.1,150.7,84.1,84.1,54.1,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,150.7,84.1,84.1,84.1,117.07,117.07,108.62,48.89,48.89,117.07,84.1,84.1,62.44,79,48.89,48.89,84.1,84.1,84.1,84.1
2022-01-01T11:00+00:00,92326.85,75139.28,148470.42,94.74,94.74,64.54,70.72,94.74,94.74,94.74,94.74,94.74,94.74,94.74,94.74,155.72,94.74,94.74,80.7,155.72,155.72,155.72,155.72,155.72,155.72,155.72,155.72,155.72,94.74,94.74,94.74,117.17,117.17,106.1,48.45,48.45,117.17,94.74,94.74,64.44,82.01,48.45,48.45,94.74,94.74,94.74,94.74
2022-01-01T12:00+00:00,92339.12,75706.56,146234.44,96.8,96.8,64.06,74.99,96.8,96.8,96.8,96.8,96.8,96.8,94.02,96.8,63.96,96.8,96.8,112.47,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,96.8,96.8,96.8,120.08,120.08,110.34,44.21,44.21,120.08,96.8,96.8,63.96,77.4,48.74,48.74,96.8,96.8,96.8,96.8
2022-01-01T13:00+00:00,92509.49,76710.67,141084.13,97.17,97.17,80.06,87.46,97.17,97.17,97.17,97.17,97.17,97.8,97.17,97.17,100,97.17,97.17,121,100,100,100,100,100,100,100,100,100,97.17,97.17,97.17,124.54,124.54,122.36,42.38,42.38,124.54,97.17,97.8,79.94,88.01,49.06,49.06,97.17,97.17,97.17,97.17
2022-01-01T14:00+00:00,92658.47,80090.64,133599.35,101,95.21,101.15,100.16,101,101,101.27,101.27,101.27,98.52,101.27,98.52,155,101,101,123.88,155,155,155,155,155,155,155,155,155,101.27,101.27,101.27,124.89,124.89,125.01,42.09,42.09,124.89,101,98.52,101,108.02,49.56,49.56,101.27,101.27,101,101
2022-01-01T15:00+00:00,92822.44,84992.37,130633.24,126.6,111.66,122.04,120.09,126.6,126.6,126.6,126.6,126.6,114.5,126.6,114.5,169.78,126.6,126.6,120,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,169.78,126.6,126.6,126.6,135.59,135.59,145.9,42.3,42.3,135.59,126.6,114.5,121.86,122.8,50.28,50.28,126.6,126.6,126.6,126.6
2022-01-01T16:00+00:00,93347.17,88505.91,136078.45,149.97,149.97,122.05,148.89,149.97,149.97,149.97,149.97,149.97,149.97,149.97,149.97,203.1,149.97,149.97,141.83,203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,149.97,149.97,149.97,149.97,149.97,154.8,40.59,40.59,149.97,149.97,149.97,121.87,139.93,50.92,50.92,149.97,149.97,149.97,149.97
2022-01-01T17:00+00:00,93773.81,89680.7,140800.37,146.33,146.33,122.06,142.3,146.33,146.33,146.33,146.33,146.33,177.22,146.33,146.33,205.83,146.33,146.33,237.51,205.83,205.83,205.83,205.83,205.83,205.83,205.83,205.83,205.83,146.33,146.33,146.33,150.71,150.71,154.96,40.11,40.11,150.71,146.33,177.22,121.88,117.46,49.42,49.42,146.33,146.33,146.33,146.33
2022-01-01T18:00+00:00,93618.79,89215.81,141822.15,140.28,140.28,137.14,137.76,140.28,140.28,140.28,140.28,140.28,187.52,140.28,140.28,214.66,140.28,140.28,188.6,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,140.28,140.28,140.28,143.81,143.81,154.95,38.52,38.52,143.81,140.28,187.52,136.94,109.3,48.72,48.72,140.28,140.28,140.28,140.28
2022-01-01T19:00+00:00,93110.08,87438.93,140648.46,121.88,121.88,122.07,128.55,121.88,121.88,121.88,121.88,121.88,189.26,121.88,121.88,214.66,121.88,121.88,162,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,214.66,121.88,121.88,121.88,140.36,140.36,145,34.71,34.71,140.36,121.88,189.26,121.88,110.52,48.28,48.28,121.88,121.88,121.88,121.88
2022-01-01T20:00+00:00,92922.09,84421.54,138235.02,102.61,102.61,102.77,140.62,102.61,102.61,102.61,102.61,102.61,190.81,102.61,102.61,203,102.61,102.61,147.3,203,203,203,203,203,203,203,203,203,102.61,102.61,102.61,139.85,139.85,139.96,32.48,32.48,139.85,102.61,190.81,102.61,100.02,47.61,47.61,102.61,102.61,102.61,102.61
2022-01-01T21:00+00:00,92824.45,81661.78,135173.68,97.46,97.46,97.61,144.49,97.46,97.46,95.12,95.12,97.46,188.39,97.46,97.46,180,97.46,97.46,123.2,180,180,180,180,180,180,180,180,180,97.46,97.46,97.46,135.08,135.08,117.03,32.88,32.88,135.08,97.46,188.39,97.46,100.04,47.23,47.23,95.12,95.12,97.46,97.46
2022-01-01T22:00+00:00,92684.78,76902.01,131227.62,85.16,85.16,43.15,141.77,85.16,85.16,83.11,83.11,85.16,167.26,85.16,85.16,162.44,85.16,85.16,99,162.44,162.44,162.44,162.44,250,162.44,162.44,162.44,162.44,85.16,85.16,85.16,123.42,123.42,102.92,32.44,32.44,123.42,85.16,167.26,43.08,83.19,46.74,46.74,83.11,83.11,85.16,85.16
2022-01-01T23:00+00:00,91225.75,71677.42,124754.54,57.08,57.08,57.12,88.51,57.08,57.08,57.08,34.73,57.08,133.21,57.08,57.08,155.72,57.08,57.08,78.91,155.72,148.08,155.72,148.08,155.72,155.72,155.72,155.72,155.72,57.08,57.08,57.08,113.56,113.56,96.01,32.03,32.03,113.56,89.89,133.21,57.08,118.33,34.73,34.73,34.73,34.73,57.08,57.08
2022-01-02T00:00+00:00,90554.31,69802.74,122320.81,52.59,52.59,52.62,75.04,52.59,52.59,52.59,34.39,55.09,115.87,55.09,52.59,142.85,52.59,52.59,60,142.85,142.85,142.85,142.85,142.85,142.85,142.85,142.85,142.85,55.09,55.09,52.59,111.66,111.66,95,31.78,31.78,111.66,80.15,115.87,52.59,121.01,34.39,34.39,34.39,34.39,52.59,52.59
2022-01-02T01:00+00:00,90524.67,68693.23,119844.56,48.97,48.97,43.11,45.38,48.97,48.97,48.97,34.36,52.82,110.52,52.82,48.97,140.6,48.97,48.97,43.73,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,52.82,52.82,48.97,106.53,106.53,95,31.8,31.8,106.53,62.75,110.52,43.09,84.31,34.36,34.36,34.36,34.36,48.97,48.97
2022-01-02T02:00+00:00,88152.39,68314.59,117867.94,34.94,34.94,20.22,23.7,34.94,34.94,34.94,34.1,34.94,113,34.94,34.94,59.29,34.94,34.94,14,100,100,100,100,100,100,100,100,100,34.94,34.94,34.94,104.5,104.5,90.14,31.89,31.89,104.5,54.87,113,20.21,69.19,34.1,34.1,34.1,34.1,34.94,34.94
2022-01-02T03:00+00:00,87815.17,68740.26,117144.47,29.56,29.56,9.71,15.84,29.56,29.56,29.56,29.56,29.56,115.87,29.56,29.56,9.7,29.56,29.56,0,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,29.56,29.56,29.56,104.06,104.06,91.14,29.56,29.56,104.06,50.5,115.87,9.7,59.57,29.56,29.56,29.56,29.56,29.56,29.56
2022-01-02T04:00+00:00,87774.72,69548.51,118774.18,33.97,33.97,9.71,23.98,33.97,33.97,33.97,33.97,53.01,110.52,53.01,33.97,9.7,33.97,33.97,-1.31,141.93,141.93,141.93,141.93,141.93,141.93,141.93,141.93,141.93,53.01,53.01,33.97,105.86,105.86,95,31.97,31.97,105.86,50.89,110.52,9.7,74.52,33.97,33.97,33.97,33.97,33.97,33.97
2022-01-02T05:00+00:00,87499.8,70943.99,120768.24,34.52,34.52,9.71,35.88,34.52,34.52,34.52,34.52,34.52,115.87,34.52,34.52,9.7,34.52,34.52,-5,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,147.09,34.52,34.52,34.52,111.97,111.97,95,31.66,31.66,111.97,56.15,115.87,9.7,32.72,34.52,34.52,34.52,34.52,34.52,34.52
2022-01-02T06:00+00:00,87392.57,72648.85,126142.42,41.8,41.8,24.35,49,41.8,41.8,41.8,41.8,41.8,129.6,41.8,41.8,24.33,41.8,41.8,-19.6,155.72,152.61,155.72,152.61,155.72,155.72,155.72,155.72,155.72,41.8,41.8,41.8,105.22,105.22,98.31,32.28,32.28,105.22,60.91,129.6,24.33,56.83,41.8,41.8,41.8,41.8,41.8,41.8
2022-01-02T07:00+00:00,88249.98,73184.56,134466.58,48.95,48.95,48.98,75.05,48.95,48.95,48.95,48.95,48.95,115.87,48.95,48.95,48.95,48.95,48.95,0,152.59,152.59,152.59,152.59,152.59,152.59,152.59,152.59,152.59,48.95,48.95,48.95,111.53,111.53,98.31,32.93,32.93,111.53,65.54,115.87,48.95,80.95,48.95,48.95,48.95,48.95,48.95,48.95
