Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (AT),Day Ahead Auction (BE),Day Ahead Auction (BG),Day Ahead Auction (CH),Day Ahead Auction (CZ),Day Ahead Auction (DE-LU),Day Ahead Auction (DK1),Day Ahead Auction (DK2),Day Ahead Auction (EE),Day Ahead Auction (ES),Day Ahead Auction (FI),Day Ahead Auction (FR),Day Ahead Auction (GR),Day Ahead Auction (HR),Day Ahead Auction (HU),Day Ahead Auction (IE(SEM)),Day Ahead Auction (IT-Calabria),Day Ahead Auction (IT-Centre-North),Day Ahead Auction (IT-Centre-South),Day Ahead Auction (IT-North),Day Ahead Auction (IT-SACOAC),Day Ahead Auction (IT-SACODC),Day Ahead Auction (IT-Sardinia),Day Ahead Auction (IT-Sicily),Day Ahead Auction (IT-South),Day Ahead Auction (LT),Day Ahead Auction (LV),Day Ahead Auction (ME),Day Ahead Auction (MK),Day Ahead Auction (NL),Day Ahead Auction (NO1),Day Ahead Auction (NO2),Day Ahead Auction (NO2NSL),Day Ahead Auction (NO3),Day Ahead Auction (NO4),Day Ahead Auction (NO5),Day Ahead Auction (PL),Day Ahead Auction (PT),Day Ahead Auction (RO),Day Ahead Auction (RS),Day Ahead Auction (SE1),Day Ahead Auction (SE2),Day Ahead Auction (SE3),Day Ahead Auction (SE4),Day Ahead Auction (SI),Day Ahead Auction (SK)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)","Price (EUR/MWh, EUR/tCO2)"
2022-12-31T23:00+00:00,65419.39,64504.81,132797.05,12.06,-4.39,20.02,0.03,4.84,-5.17,2.01,2.01,2.01,0,2.01,0,230.9,15.36,19.76,166.1,195.9,195.9,195.9,195.9,195.9,195.9,195.9,195.9,195.9,2.01,2.01,,,-3.61,119.32,119.32,135.21,23.35,23.35,119.32,18.09,0,20.02,19.06,2.01,2.01,2.01,2.01,13.31,20.26
2023-01-01T00:00+00:00,65254.74,63262.62,126985.22,-0.1,-1.75,0.18,-7.25,-0.35,-1.07,1.38,1.38,1.38,0,1.38,-0.1,268.19,0.01,0.19,160.38,191.09,191.09,191.09,191.09,191.09,191.09,191.09,191.09,191.09,1.38,1.38,,,-1.46,108.83,108.83,120.66,23.28,23.28,108.83,5.75,0,0.18,10.98,1.38,1.38,1.38,1.38,-0.07,0.33
2023-01-01T01:00+00:00,64580.33,63022.17,123954.71,-0.66,-1.46,0.01,-3.99,-0.97,-1.47,0.09,0.09,0.09,0,0.09,-1.33,229.58,-0.3,0.07,157.75,187.95,187.95,187.95,187.95,187.95,187.95,187.95,187.95,187.95,0.09,0.09,,,-1.52,102.39,102.39,103.81,23.37,23.37,102.39,5.27,0,0.01,5.03,0.09,0.09,0.09,0.09,-0.47,0.5
2023-01-01T02:00+00:00,63868.29,62241.55,121061.39,-1.99,-5.27,0.01,-7.71,-1.93,-5.08,0.08,0.08,0.08,0,0.08,-4.08,235.98,-1.05,0.01,147.5,187.82,187.82,187.82,187.82,187.82,187.82,187.82,187.82,187.82,0.08,0.08,,,-5,92.36,92.36,82.81,23.67,23.67,92.36,5.74,0,0.01,5,0.08,0.08,0.08,0.08,-1.56,0.5
2023-01-01T03:00+00:00,63776.87,60104.33,118791.6,-2.42,-4.41,0.01,-9.71,-3.07,-4.49,0.05,0.05,0.05,0,0.05,-4.16,234.28,-1.45,-0.77,144.71,187.74,187.74,187.74,187.74,187.74,187.74,187.74,187.74,187.74,0.05,0.05,,,-4.6,82.66,82.66,69.77,24.12,24.12,82.66,5.22,0,0.01,4.46,0.05,0.05,0.05,0.05,-1.94,0.1
2023-01-01T04:00+00:00,63893.52,59420.35,116878.42,-1.86,-5.4,0.01,-15.15,-1.86,-5.4,0,0.08,0.08,0,0.08,-3.58,237.63,-0.95,0.01,144.71,187.74,187.74,187.74,187.74,187.74,187.74,187.74,187.74,187.74,0.08,0.08,,,-4.05,79.58,79.58,70.07,32.24,24.67,80.58,6.14,0,0.01,3,0.08,0.08,0.08,0.08,-1.42,0.72
2023-01-01T05:00+00:00,63671.28,59681.94,116708.62,-3.35,-4.69,0.01,-14.33,-3.44,-5.02,-0.38,0.09,0.09,0,0.09,-4.37,239.66,-2.53,-2.56,142.53,187.22,187.22,187.22,187.22,187.22,187.22,187.22,187.22,187.22,0.09,0.09,,,-3.6,77.65,77.65,71,35.93,24.54,77.65,5.31,0,0,9.07,0.09,0.09,0.09,0.09,-2.97,-2.45
2023-01-01T06:00+00:00,63737.68,59980.23,119125.08,0,-1.31,0.01,-0.66,-0.47,-1.3,0,0.53,0.53,0,0.53,-0.12,231.88,-0.09,0.02,136.3,187.82,187.82,187.82,187.82,187.82,187.82,187.82,187.82,187.82,0.53,0.53,,,0,66.27,66.27,72.66,42.78,24.69,66.27,5.99,0,0.01,4.07,0.53,0.53,0.53,0.53,-0.12,0.04
2023-01-01T07:00+00:00,63972.78,60725.67,124031.52,-0.22,-1.57,0.29,0.02,-0.3,-1.44,0,2.03,2.03,0,2.03,-0.06,186.47,0.03,0.3,149.86,186.47,186.47,186.47,186.47,186.47,186.47,186.47,186.47,186.47,2.03,2.03,,,0,80.89,80.89,69.6,47.7,24.84,80.89,6.63,0,0.29,10.25,2.03,2.03,2.03,2.03,-0.06,0.48
2023-01-01T08:00+00:00,63373.41,60395.8,132273.9,0.29,-1.03,0.93,-1.23,0.26,-1.09,0.04,3.1,3.1,0,3.1,0,186.47,0.6,0.95,160,186.47,186.47,186.47,186.47,186.47,186.47,186.47,186.47,186.47,3.1,3.1,,,0,93.73,93.73,98.55,53.38,25.18,93.73,6.64,0,0.93,12.09,3.1,3.1,3.1,3.1,0.47,1.19
2023-01-01T09:00+00:00,63600.38,60881.93,142596.14,0.73,-0.23,1.57,-6.11,0.69,-1.07,0.8,4.43,4.43,0,4.43,0,177.25,1.13,1.6,175,177.25,177.25,177.25,177.25,177.25,177.25,177.25,177.25,177.25,4.43,4.43,,,0.99,106.05,106.05,116.1,59.34,25.47,106.05,5.17,0,1.57,20.96,4.43,4.43,4.43,4.43,0.94,1.91
