Date (GMT+1),Nuclear,Renewable,Day Ahead Auction
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2023-01-01T00:00+01:00,2973.87,2155.93,0.03
2023-01-01T01:00+01:00,2973.18,2111.81,-7.25
2023-01-01T02:00+01:00,2976.94,2069.8,-3.99
2023-01-01T03:00+01:00,2977.04,2015.34,-7.71
2023-01-01T04:00+01:00,2976.64,1971.88,-9.71
2023-01-01T05:00+01:00,2975.55,1931.66,-15.15
2023-01-01T06:00+01:00,2974.56,1951.88,-14.33
2023-01-01T07:00+01:00,2973.67,1961.86,-0.66
2023-01-01T08:00+01:00,2975.65,1955.16,0.02
2023-01-01T09:00+01:00,2974.17,2066.93,-1.23
2023-01-01T10:00+01:00,2973.97,2173.35,-6.11
2023-01-01T11:00+01:00,2970.21,2589.34,0.28
2023-01-01T12:00+01:00,2965.46,2766.57,2.96
2023-01-01T13:00+01:00,2964.17,2781.24,-0.79
2023-01-01T14:00+01:00,2962.1,2732.42,3.06
2023-01-01T15:00+01:00,2960.71,2415.38,9.53
2023-01-01T16:00+01:00,2962.39,2360.64,19.95
2023-01-01T17:00+01:00,2963.68,2299.64,30.46
2023-01-01T18:00+01:00,2965.16,2443.99,34.39
2023-01-01T19:00+01:00,2967.44,2490.97,35.15
2023-01-01T20:00+01:00,2971.4,2304.78,29.57
2023-01-01T21:00+01:00,2980.3,1915.25,24.92
2023-01-01T22:00+01:00,2978.32,1912.91,20.72
2023-01-01T23:00+01:00,2978.32,1932.22,13.46
2023-01-02T00:00+01:00,2977.23,1934.36,40.37
2023-01-02T01:00+01:00,2979.21,1902.43,29.23
2023-01-02T02:00+01:00,2979.91,1881.65,22.28
2023-01-02T03:00+01:00,2982.77,1844.55,14.17
2023-01-02T04:00+01:00,2981.39,1827.14,24.94
2023-01-02T05:00+01:00,2980.4,1990.65,48.84
2023-01-02T06:00+01:00,2978.62,2101.77,74.52
2023-01-02T07:00+01:00,2980.89,2115.36,112.32
2023-01-02T08:00+01:00,2983.57,2119.92,123.03
2023-01-02T09:00+01:00,2981.49,2093.24,125.92
2023-01-02T10:00+01:00,2980.8,2316.17,127.31
2023-01-02T11:00+01:00,2979.61,2758.11,125.47
2023-01-02T12:00+01:00,2975.16,2874.51,129.43
2023-01-02T13:00+01:00,2971.1,2928.41,120.34
2023-01-02T14:00+01:00,2967.44,2281.34,132.27
2023-01-02T15:00+01:00,2964.67,2222.24,136.2
2023-01-02T16:00+01:00,2963.78,2254.19,145.91
2023-01-02T17:00+01:00,2965.16,2989.71,153.85
2023-01-02T18:00+01:00,2965.46,3091.74,161.43
2023-01-02T19:00+01:00,2968.92,2629.96,154.75
2023-01-02T20:00+01:00,2967.93,2345.62,148.62
2023-01-02T21:00+01:00,2970.7,2099.12,134.97
2023-01-02T22:00+01:00,2980.8,2016.16,121.01
2023-01-02T23:00+01:00,2981.78,1897.53,112.1
2023-01-03T00:00+01:00,2984.46,1648.53,119.17
2023-01-03T01:00+01:00,2983.96,1686.46,113.38
2023-01-03T02:00+01:00,2983.96,1586.41,108.94
2023-01-03T03:00+01:00,2975.06,1563.79,101.05
2023-01-03T04:00+01:00,2977.43,1523.78,105.86
2023-01-03T05:00+01:00,2975.26,1570.75,119.07
2023-01-03T06:00+01:00,2974.27,1640.83,156.05
2023-01-03T07:00+01:00,2974.76,1735.55,183.96
2023-01-03T08:00+01:00,2973.18,2266.69,185.2
2023-01-03T09:00+01:00,2977.43,2582,186.56
2023-01-03T10:00+01:00,2977.93,2253.69,184.08
2023-01-03T11:00+01:00,2973.97,1846.85,179.02
2023-01-03T12:00+01:00,2806.76,2362.41,171.42
2023-01-03T13:00+01:00,2972.88,2414.12,167.95
2023-01-03T14:00+01:00,2973.97,2570.2,170.04
2023-01-03T15:00+01:00,2971.5,2698.75,171.8
2023-01-03T16:00+01:00,2972.29,2872.65,172.47
2023-01-03T17:00+01:00,2971,3260.54,186.24
2023-01-03T18:00+01:00,2974.76,3379.95,180.86
2023-01-03T19:00+01:00,2975.85,2916.25,171.49
2023-01-03T20:00+01:00,2977.33,1926.45,158.72
2023-01-03T21:00+01:00,2978.62,1679.87,147.74
2023-01-03T22:00+01:00,2979.81,1729.19,141.58
2023-01-03T23:00+01:00,2982.28,1669.82,113.49
2023-01-04T00:00+01:00,2981.19,1713.93,121.55
2023-01-04T01:00+01:00,2980.99,1738.66,104.19
2023-01-04T02:00+01:00,2984.75,1680.09,88.65
2023-01-04T03:00+01:00,2989.9,1605.08,84.82
2023-01-04T04:00+01:00,2982.38,1657.29,83.95
2023-01-04T05:00+01:00,2981.88,1682.38,111.52
2023-01-04T06:00+01:00,2980.6,1933.82,128.92
2023-01-04T07:00+01:00,2980.6,1987.58,147.38
2023-01-04T08:00+01:00,2981.49,2509.16,154.3
2023-01-04T09:00+01:00,2982.68,2683.09,158.76
2023-01-04T10:00+01:00,2980.5,2510.7,153.82
2023-01-04T11:00+01:00,2979.21,2346.12,151.4
2023-01-04T12:00+01:00,2978.52,2085.19,155.46
2023-01-04T13:00+01:00,2982.48,1947.54,153.47
2023-01-04T14:00+01:00,2980.5,1852.94,156.53
2023-01-04T15:00+01:00,2974.76,2004.91,152.6
2023-01-04T16:00+01:00,2973.77,2386.1,154.18
2023-01-04T17:00+01:00,2974.17,2562.54,152.6
2023-01-04T18:00+01:00,2971.99,2797.46,157.59
2023-01-04T19:00+01:00,2972.78,2111.85,155
